,Total:,Owner occupied:,Owner occupied:!!No bedroom,Owner occupied:!!1 bedroom,Owner occupied:!!2 bedrooms,Owner occupied:!!3 bedrooms,Owner occupied:!!4 bedrooms,Owner occupied:!!5 or more bedrooms,Renter occupied:,Renter occupied:!!No bedroom,Renter occupied:!!1 bedroom,Renter occupied:!!2 bedrooms,Renter occupied:!!3 bedrooms,Renter occupied:!!4 bedrooms,Renter occupied:!!5 or more bedrooms,county
06001400100,1295.0,1043.0,6.0,0.0,144.0,452.0,348.0,93.0,252.0,0.0,72.0,57.0,68.0,55.0,0.0,ala
06001400200,867.0,600.0,0.0,15.0,144.0,284.0,139.0,18.0,267.0,16.0,125.0,93.0,18.0,8.0,7.0,ala
06001400300,2494.0,1154.0,0.0,26.0,538.0,349.0,145.0,96.0,1340.0,205.0,727.0,308.0,72.0,28.0,0.0,ala
06001400400,1875.0,807.0,0.0,67.0,282.0,348.0,93.0,17.0,1068.0,112.0,390.0,412.0,94.0,0.0,60.0,ala
06001400500,1574.0,669.0,0.0,14.0,224.0,289.0,109.0,33.0,905.0,77.0,416.0,322.0,64.0,26.0,0.0,ala
06001400600,701.0,277.0,0.0,24.0,62.0,185.0,6.0,0.0,424.0,36.0,151.0,97.0,117.0,0.0,23.0,ala
06001400700,1686.0,490.0,7.0,15.0,224.0,138.0,64.0,42.0,1196.0,95.0,350.0,508.0,187.0,40.0,16.0,ala
06001400800,1504.0,448.0,0.0,21.0,217.0,155.0,55.0,0.0,1056.0,75.0,348.0,481.0,152.0,0.0,0.0,ala
06001400900,1090.0,432.0,0.0,28.0,273.0,67.0,31.0,33.0,658.0,47.0,280.0,215.0,99.0,17.0,0.0,ala
06001401000,2288.0,816.0,0.0,49.0,377.0,286.0,104.0,0.0,1472.0,115.0,552.0,528.0,256.0,21.0,0.0,ala
06001401100,2033.0,453.0,0.0,17.0,238.0,151.0,47.0,0.0,1580.0,224.0,765.0,253.0,227.0,90.0,21.0,ala
06001401200,1284.0,497.0,0.0,57.0,238.0,162.0,35.0,5.0,787.0,99.0,393.0,229.0,66.0,0.0,0.0,ala
06001401300,1676.0,231.0,58.0,78.0,80.0,0.0,15.0,0.0,1445.0,353.0,657.0,240.0,166.0,0.0,29.0,ala
